Level,Hierarchical structure,Code,Parent,Class title,Class definition
1,Division,RDF10,,Natural sciences,"This division comprises research and experimental development in natural sciences. Natural sciences refer to scientific disciplines concerned with understanding, exploring or developing the natural world, in the field of natural sciences, which includes mathematics and statistics; computer and information sciences; physical sciences; chemical sciences; earth and related environmental sciences; biological sciences; and other natural sciences. Research consists of systematic investigation carried by means of experiment or analysis to achieve a scientific or technological advance such as acquiring new knowledge of the underlying foundation of phenomena and observable facts. Experimental development consists of new or substantially improved goods, services, systems, methods or processes."
2,Group,RDF101,RDF10,Mathematics and statistics,This group comprises research and experimental development in mathematics and statistics.
3,Class,RDF10101,RDF101,Pure mathematics,This class comprises research and experimental development in pure mathematics.
4,Subclass (Field),RDF1010101,RDF10101,Algebra,This subclass comprises research and experimental development in algebra.
4,Subclass (Field),RDF1010102,RDF10101,Number theory,This subclass comprises research and experimental development in number theory.
4,Subclass (Field),RDF1010103,RDF10101,Algebraic and differential geometry,This subclass comprises research and experimental development in algebraic and differential geometry.
4,Subclass (Field),RDF1010104,RDF10101,Metric and fractal geometry,This subclass comprises research and experimental development in metric and fractal geometry.
4,Subclass (Field),RDF1010105,RDF10101,"Category theory, K theory, homological algebra","This subclass comprises research and experimental development in category theory, K theory, homological algebra."
4,Subclass (Field),RDF1010106,RDF10101,Combinatorics and discrete mathematics,This subclass comprises research and experimental development in combinatorics and discrete mathematics.
4,Subclass (Field),RDF1010107,RDF10101,Group theory and generalisations,"This subclass comprises research and experimental development in lie groups, harmonic and Fourier analysis."
4,Subclass (Field),RDF1010108,RDF10101,"Lie groups, harmonic and Fourier analysis","This subclass comprises research and experimental development in mathematical logic, set theory, lattices and universal algebra."
4,Subclass (Field),RDF1010109,RDF10101,"Foundations, logic, and set theory of mathematics","This subclass comprises research and experimental development in foundations, logic, and set theory of mathematics."
4,Subclass (Field),RDF1010110,RDF10101,Modern analysis in mathematics,This subclass comprises research and experimental development in modern analysis in mathematics.
4,Subclass (Field),RDF1010111,RDF10101,Differential equations and integral equations in pure mathematics,This subclass comprises research and experimental development in differential equations and integral equations in pure mathematics.
4,Subclass (Field),RDF1010112,RDF10101,Classical analysis in pure mathematics,This subclass comprises research and experimental development in classical analysis in pure mathematics.
4,Subclass (Field),RDF1010113,RDF10101,Topology,This subclass comprises research and experimental development in topology.
4,Subclass (Field),RDF1010199,RDF10101,"Pure mathematics, n.e.c.","This subclass comprises research and experimental development in pure mathematics, n.e.c."
3,Class,RDF10102,RDF101,Applied mathematics,This class comprises research and experimental development in applied mathematics.
4,Subclass (Field),RDF1010201,RDF10102,Approximation theory and asymptotic methods,This subclass comprises research and experimental development in approximation theory and asymptotic methods.
4,Subclass (Field),RDF1010202,RDF10102,Integral equations in applied mathematics,This subclass comprises research and experimental development in integral equations in applied mathematics.
4,Subclass (Field),RDF1010203,RDF10102,Partial and ordinary differential equations,This subclass comprises research and experimental development in partial and ordinary differential equations.
4,Subclass (Field),RDF1010204,RDF10102,Mathematical modelling and simulation,This subclass comprises research and experimental development in mathematical modelling and simulation.
4,Subclass (Field),RDF1010205,RDF10102,Computational fluid mechanics,This subclass comprises research and experimental development in computational fluid mechanics.
4,Subclass (Field),RDF1010206,RDF10102,Mathematical biology,This subclass comprises research and experimental development in mathematical biology.
4,Subclass (Field),RDF1010207,RDF10102,"Calculus of variations, systems theory and control theory","This subclass comprises research and experimental development in calculus of variations, systems theory and control theory."
4,Subclass (Field),RDF1010208,RDF10102,Dynamical systems in applications,This subclass comprises research and experimental development in dynamical systems in applications.
4,Subclass (Field),RDF1010209,RDF10102,Mathematical operations research,This subclass comprises research and experimental development in mathematical operations research.
4,Subclass (Field),RDF1010210,RDF10102,Theoretical and applied mechanics,This subclass comprises research and experimental development in theoretical and applied mechanics.
4,Subclass (Field),RDF1010211,RDF10102,Numerical analysis,This subclass comprises research and experimental development in numerical analysis.
4,Subclass (Field),RDF1010212,RDF10102,Mathematical optimization,This subclass comprises research and experimental development in mathematical optimization.
4,Subclass (Field),RDF1010213,RDF10102,Mathematical physics,This subclass comprises research and experimental development in mathematical physics.
4,Subclass (Field),RDF1010299,RDF10102,"Applied mathematics, n.e.c.","This subclass comprises research and experimental development in other applied mathematics, n.e.c."
3,Class,RDF10103,RDF101,Statistics,This class comprises research and experimental development in statistics.
4,Subclass (Field),RDF1010301,RDF10103,General statistical methods,This class comprises research and experimental development in general statistical methods.
4,Subclass (Field),RDF1010302,RDF10103,Biostatistical methods,This subclass comprises research and experimental development in biostatistical methods.
4,Subclass (Field),RDF1010303,RDF10103,Statistical theory and modeling,This subclass comprises research and experimental development in statistical theory and modeling.
4,Subclass (Field),RDF1010304,RDF10103,Statistical inference,This subclass comprises research and experimental development in statistical inference.
4,Subclass (Field),RDF1010305,RDF10103,Statistical learning,This subclass comprises research and experimental development in statistical learning.
4,Subclass (Field),RDF1010306,RDF10103,High dimensional data analysis,This subclass comprises research and experimental development in high dimensional data analysis.
4,Subclass (Field),RDF1010307,RDF10103,Computational methods in statistics,This subclass comprises research and experimental development in computational methods in statistics.
4,Subclass (Field),RDF1010308,RDF10103,Actuarial science and mathematical finance,This subclass comprises research and experimental development in actuarial science and mathematical finance.
4,Subclass (Field),RDF1010309,RDF10103,Spatial statistics,This subclass comprises research and experimental development in spatial statistics.
4,Subclass (Field),RDF1010310,RDF10103,Survey methodology and analysis,This subclass comprises research and experimental development in survey methodology and analysis.
4,Subclass (Field),RDF1010311,RDF10103,Statistical methods for high throughput data,This subclass comprises research and experimental development in statistical methods for high throughput data.
4,Subclass (Field),RDF1010312,RDF10103,Probability theory,This subclass comprises research and experimental development in probability theory.
4,Subclass (Field),RDF1010399,RDF10103,"Statistics, n.e.c.","This subclass comprises research and experimental development in statistics, n.e.c."
2,Group,RDF102,RDF10,Computer and information sciences,This group comprises research and experimental development in computer and information sciences.
3,Class,RDF10201,RDF102,Artificial intelligence (AI),This class comprises research and experimental development in artificial intelligence (AI).
4,Subclass (Field),RDF1020101,RDF10201,Adaptive agents,This subclass comprises research and experimental development in adaptive agents.
4,Subclass (Field),RDF1020102,RDF10201,Intelligent robotics,This subclass comprises research and experimental development in intelligent robotics.
