test_id,application,related_journal_linked,related_journal_present,duplicate_ur,account,manual_update,raises,outcome
1,none,no,no,no,none,False,ArgumentException,
2,none,no,no,no,publisher,False,ArgumentException,
3,none,no,no,no,admin,False,ArgumentException,
4,rejected,yes,yes,yes,admin,True,IllegalStatusException,
5,rejected,yes,yes,yes,admin,False,IllegalStatusException,
6,rejected,yes,yes,no,admin,True,IllegalStatusException,
7,rejected,yes,yes,no,admin,False,IllegalStatusException,
8,rejected,yes,no,no,admin,True,IllegalStatusException,
9,rejected,yes,no,no,admin,False,IllegalStatusException,
10,rejected,no,no,no,none,True,ArgumentException,
11,rejected,no,no,no,none,False,ArgumentException,
12,rejected,no,no,no,publisher,True,AuthoriseException,
13,rejected,no,no,no,publisher,False,AuthoriseException,
14,rejected,no,no,no,admin,True,IllegalStatusException,
15,rejected,no,no,no,admin,False,IllegalStatusException,
16,pending,yes,yes,yes,admin,True,DuplicateUpdateRequest,
17,pending,yes,yes,yes,admin,False,DuplicateUpdateRequest,
18,pending,yes,yes,no,admin,True,,unrejected
19,pending,yes,yes,no,admin,False,,unrejected
20,pending,yes,no,no,admin,True,NoSuchObjectException,
21,pending,yes,no,no,admin,False,NoSuchObjectException,
22,pending,no,no,no,none,True,ArgumentException,
23,pending,no,no,no,none,False,ArgumentException,
24,pending,no,no,no,publisher,True,AuthoriseException,
25,pending,no,no,no,publisher,False,AuthoriseException,
26,pending,no,no,no,admin,True,,noop
27,pending,no,no,no,admin,False,,noop
