test_id,doi,fulltext_url,incorrect_issn_count,pissn_eissn_match,journal_in_doaj,is_acceptable
1,exists,exists,yes,yes,yes,no
2,exists,exists,yes,yes,no,no
3,exists,exists,yes,no,yes,no
4,exists,exists,yes,no,no,no
5,exists,exists,no,yes,yes,no
6,exists,exists,no,yes,no,no
7,exists,exists,no,no,yes,yes
8,exists,exists,no,no,no,no
9,exists,none,yes,yes,yes,no
10,exists,none,yes,yes,no,no
11,exists,none,yes,no,yes,no
12,exists,none,yes,no,no,no
13,exists,none,no,yes,yes,no
14,exists,none,no,yes,no,no
15,exists,none,no,no,yes,yes
16,exists,none,no,no,no,no
17,none,exists,yes,yes,yes,no
18,none,exists,yes,yes,no,no
19,none,exists,yes,no,yes,no
20,none,exists,yes,no,no,no
21,none,exists,no,yes,yes,no
22,none,exists,no,yes,no,no
23,none,exists,no,no,yes,yes
24,none,exists,no,no,no,no
25,none,none,yes,yes,yes,no
26,none,none,yes,yes,no,no
27,none,none,yes,no,yes,no
28,none,none,yes,no,no,no
29,none,none,no,yes,yes,no
30,none,none,no,yes,no,no
31,none,none,no,no,yes,no
32,none,none,no,no,no,no
