test_id,in_queue,oldest_queued,error_count,error_age,lrs_success_or_error,queued,errors,lrs
1,0,young,0,out_of_period,complete,stable,stable,stable
2,0,young,0,out_of_period,error,stable,stable,unstable
3,0,young,0,out_of_period,empty,stable,stable,unstable
4,0,young,1,in_period,complete,stable,unstable,stable
5,0,young,1,in_period,error,stable,unstable,unstable
6,0,young,1,out_of_period,complete,stable,stable,stable
7,0,young,1,out_of_period,error,stable,stable,unstable
8,1,old,0,out_of_period,complete,unstable,stable,stable
9,1,old,0,out_of_period,error,unstable,stable,unstable
10,1,old,0,out_of_period,empty,unstable,stable,unstable
11,1,old,1,in_period,complete,unstable,unstable,stable
12,1,old,1,in_period,error,unstable,unstable,unstable
13,1,old,1,out_of_period,complete,unstable,stable,stable
14,1,old,1,out_of_period,error,unstable,stable,unstable
15,1,young,0,out_of_period,complete,stable,stable,stable
16,1,young,0,out_of_period,error,stable,stable,unstable
17,1,young,0,out_of_period,empty,stable,stable,unstable
18,1,young,1,in_period,complete,stable,unstable,stable
19,1,young,1,in_period,error,stable,unstable,unstable
20,1,young,1,out_of_period,complete,stable,stable,stable
21,1,young,1,out_of_period,error,stable,stable,unstable
22,2,old,0,out_of_period,complete,unstable,stable,stable
23,2,old,0,out_of_period,error,unstable,stable,unstable
24,2,old,0,out_of_period,empty,unstable,stable,unstable
25,2,old,1,in_period,complete,unstable,unstable,stable
26,2,old,1,in_period,error,unstable,unstable,unstable
27,2,old,1,out_of_period,complete,unstable,stable,stable
28,2,old,1,out_of_period,error,unstable,stable,unstable
29,2,young,0,out_of_period,complete,unstable,stable,stable
30,2,young,0,out_of_period,error,unstable,stable,unstable
31,2,young,0,out_of_period,empty,unstable,stable,unstable
32,2,young,1,in_period,complete,unstable,unstable,stable
33,2,young,1,in_period,error,unstable,unstable,unstable
34,2,young,1,out_of_period,complete,unstable,stable,stable
35,2,young,1,out_of_period,error,unstable,stable,unstable
