field,test_id,in_queue,oldest_queued,error_count,error_age,lrs_success_or_error,queued,errors,lrs
type,index,generated,generated,generated,generated,generated,conditional,conditional,conditional
default,,,,,,,stable,stable,stable
,,,,,,,,,
values,,0,in_period,0,in_period,success,stable,stable,stable
values,,1,out_of_period,1,out_of_period,error,unstable,unstable,unstable
values,,,,,,empty,,,
,,,,,,,,,
constraint event_in_queue,,0,out_of_period,,,,,,
constraint event_error_count,,,,0,out_of_period,,,,
,,,,,,,,,
conditional queued,,1,in_period,,,,unstable,,
conditional errors,,,,1,in_period,,,unstable,
conditional lrs,,,,,,error,,,unstable
