field,test_id,account,raises,todo_editor_follow_up_old,todo_editor_stalled,todo_editor_completed,todo_editor_assign_pending,todo_editor_follow_up_old_order,todo_editor_stalled_order,todo_editor_completed_order,todo_editor_assign_pending_order
type,index,generated,conditional,conditional,conditional,conditional,conditional,conditional,conditional,conditional,conditional
default,,,,,,,,,,,
,,,,,,,,,,,
values,,none,ArgumentException,,,,,,,,
values,,no_role,,,,,,,,,
values,,assed,,,,,,,,,
values,,editor,,,,,,,,,
,,,,,,,,,,,
conditional raises,,none,ArgumentException,,,,,,,,
,,,,,,,,,,,
conditional todo_editor_follow_up_old,,editor,,1,,,,,,,
conditional todo_editor_follow_up_old,,!editor,,0,,,,,,,
,,,,,,,,,,,
conditional todo_editor_stalled,,editor,,,1,,,,,,
conditional todo_editor_stalled,,!editor,,,0,,,,,,
,,,,,,,,,,,
conditional todo_editor_completed,,editor,,,,1,,,,,
conditional todo_editor_completed,,!editor,,,,0,,,,,
,,,,,,,,,,,
conditional todo_editor_assign_pending,,editor,,,,,1,,,,
conditional todo_editor_assign_pending,,!editor,,,,,0,,,,
,,,,,,,,,,,
conditional todo_editor_follow_up_old_order,,editor,,,,,,3,,,
conditional todo_editor_stalled_order,,editor,,,,,,,4,,
conditional todo_editor_completed_order,,editor,,,,,,,,1,
conditional todo_editor_assign_pending_order,,editor,,,,,,,,,2
