ID,Title,PISSN,EISSN,Country,Created
YEAR:,2021,COUNT:,12040
9b36d2808d854c53bf65148d75594266,I-Finance,2476-8871,2615-1081,ID,2021
422d308da76c4b3f81e4f930ec7796bd,B.R. Nahata Smriti Sansthan Agricultural Extension Journal,2582-564X,2582-3302,IN,2021
4fec38195d69412ca9a49fe245fcc56a,Mass Communication Research,1016-1007,,TW,2021
7eddb2f7e65f437ab038458b23bb8255,شعبہ جاتی تحقیقی مجلہ ادراک,2412-6144,2709-4413,PK,2021
ea3399130aaf439db64bec39b6f01d26,Asian Journal of Medical Sciences,2467-9100,2091-0576,NP,2021
d701811501d84cf19da15ee59f2de7cb,The Scientific Journal of Cihan University – Sulaimaniya (SJCUS),2520-5102,2520-7377,IQ,2021
24a6c54e8d8c4dd080c4ba272b94e58e,Turist Rehberliği Nitel Araştırmalar Dergisi (TURNAD),,2757-6302,TR,2021
826e19f1957f43e8aaf6b8f9b6573de4,Literary Druid,,2582-4155,IN,2021
c5c0ecd6a847487ea400031abf62277e,Grande Medical Journal,2661-6238,2661-6386,NP,2021
045d4f293e9e4e0caf21648971311f91,Language. Text. Society,,2687-0487,RU,2021
2246308c2c3c4bf397a0d4cae6f15bda,Gazi Mühendislik Bilimleri Dergisi,2149-4916,2149-9373,TR,2021
8317f462751e463da666f29ec61164dc,Revista de la AITT,,2411-3840,US,2021
f05134611f58446db1589e2d23330646,Aula Virtual,,2665-0398,VE,2021
cc61bb5ad2ed433c8b7bf783cd7d0a3f,Jurnal Ilmu Kebidanan,2407-6872,2579-4027,ID,2021
b800a3f791ae42d89d24c2d03388191d,"International Journal of Analytical, Experimental and Finite Element Analysis",2394-5133,2394-5141,IN,2021
52b9b38b58694ad6a3723634a418866c,Journal of Innovation in Applied Research,,2581-4206,IN,2021
3edad8bc1b1e4d16ab29bced95557b58,Civics Education and Social Science Journal (CESSJ),2686-3162,2686-3170,ID,2021
61159b566da0432fa1d9c027276dc21a,Oksident,,2687-2749,TR,2021
e98fc26ecc824fcfbe7f39ad38253880,Function and Disability Journal,,2588-6304,IR,2021
ed3a62fc207243caa932f978764d2ce8,Transaction on Biomedical Engineering Applications and Healthcare,,2582-7405,IN,2021
053205be8ab345a892b48cb8cc02d726,Cadernos de Dereito Actual,2340-860X,2386-5229,ES,2021
f8b931298f3044c1b5f077a20e5ebd98,"International Journal of Physical Education, Fitness and Sports",2277-5447,2457-0753,IN,2021
2d7303668b714a33a71a11036117a369,Journal of Educational Research in Developing Areas,,2735-9107,NG,2021
