Journal title,Journal URL,URL in DOAJ,Journal ISSN (print version),Journal EISSN (online version),Publisher,Country of publisher
Revista de Urbanismo,http://revistaurbanismo.uchile.cl,https://doaj.org/toc/b729d561a2da40059b8a181f48c73d28,0717-5051,,Universidad de Chile,Chile
Cuadernos de Neuropsicologia,http://www.cnps.cl,https://doaj.org/toc/368a363801a44091bbb84cfd76b12027,0718-4123,,CAEN,Chile
Revista Electrónica Gestión de las Personas y Tecnología,http://www.revistas.usach.cl/ojs/index.php/revistagpt/index,https://doaj.org/toc/513524c522cf40ddbad1b7e04d11922b,0718-5693,,Universidad de Santiago de Chile,Chile
Palimpsesto: Revista Científica de Estudios Sociales Iberoamericanos,http://www.revistas.usach.cl/ojs/index.php/palimpsesto,https://doaj.org/toc/2b47390d5f6c43cb89ac94dea05e7ef0,0718-5898,,Universidad de Santiago de Chile,Chile
HYBRIS: Revista de Filosofía,http://revistas.cenaltes.cl/index.php/hybris,https://doaj.org/toc/104fbdf22f0b40c88d922faf34bf7200,0718-8382,,CENALTES,Chile
"Sustainability, Agri, Food and Environmental Research",http://portalrevistas.uct.cl/index.php/safer,https://doaj.org/toc/e2a3af5749074871a9a0ce07cbbb62f7,0719-3726,,Universidad Católica de Temuco,Chile
Tạp chí Khoa học Đại học Đà Lạt,http://tckh.dlu.edu.vn,https://doaj.org/toc/acc506fccdcc4f77a05e08739294506d,0866-787X,,Dalat University,Viet Nam
Online Journal of Health & Allied Sciences,http://www.ojhas.org/,https://doaj.org/toc/6456ef3e09504a09a10bef243b7f3303,0972-5997,,Light House Polyclinic Mangalore,India
Electronic Journal of Differential Equations,http://ejde.math.txstate.edu,https://doaj.org/toc/daf91ecc65be4654b8b6101798af0ff3,1072-6691,,Texas State University,United States
Stanford Encyclopedia of Philosophy,http://plato.stanford.edu/,https://doaj.org/toc/56b92626f9ad49439c6bc0889e1d7034,1095-5054,,Stanford University,United States
Electronic Journal of Information Technology,http://www.revue-eti.net,https://doaj.org/toc/09bc96fbb7ab441c91c253bee5da5f53,1114-8802,,Ecole Mohammadia d'Ingénieurs,Morocco
Scrineum Rivista,https://oajournals.fupress.net/index.php/scrineum/index,https://doaj.org/toc/ff9c5d798ae74e6099076113b4916937,1128-5656,,Firenze University Press,Italy
On the W@terfront,http://www.raco.cat/index.php/Waterfront,https://doaj.org/toc/df1bb3c449f943abbbae1a70f7fc49da,1139-7365,,Universitat de Barcelona,Spain
Cerrahi Sanatlar Dergisi,http://www.cerrahisanatlardergisi.com/index.php/jsa,https://doaj.org/toc/20987555cbc44879889e9004c755b3aa,1308-0709,,Cerrahi Sanatlar Dergisi,Turkey
İşletme Araştırmaları Dergisi,http://www.isarder.com/,https://doaj.org/toc/a7cb0662cb2740adb875d38bf5bf1b16,1309-0712,,Isarder,Turkey
Journal of Pediatric Sciences,https://dergipark.org.tr/en/pub/jps,https://doaj.org/toc/af47da5354d4407b8823cdb33c36c9dd,1309-1247,,Journal of Pediatric Sciences,Turkey
Molecules,http://www.mdpi.com/journal/molecules,https://doaj.org/toc/ce37db262db441d4a3a21c0a22035c9c,1420-3049,,MDPI AG,Switzerland
Molbank,http://www.mdpi.com/journal/molbank,https://doaj.org/toc/b1e02c61f9e54592aa6ab65929f93fc6,1422-8599,,MDPI AG,Switzerland
Diversity,http://www.mdpi.com/journal/diversity/,https://doaj.org/toc/37d1c00e6c1e4e57a8f18fa8c8046fec,1424-2818,,MDPI AG,Switzerland
MedienPädagogik: Zeitschrift für Theorie und Praxis der Medienbildung,http://www.medienpaed.com,https://doaj.org/toc/d06bf2117caf4d428abd731581ca79d5,1424-3636,,MedienPädagogik,Switzerland
Pharmaceuticals,http://www.mdpi.com/journal/pharmaceuticals/,https://doaj.org/toc/8aebbee077214f44af4541e89c48a897,1424-8247,,MDPI AG,Switzerland
