A,RDF10
AE1-90,RDF101
AG2-600,RDF10101
AM1-501,RDF1010101
AN,RDF1010102
AP1-271,RDF1010103
AS1-945,RDF1010104
AZ20-999,RDF1010105
B,RDF1010106
B1-5802,RDF1010107
B108-5802,RDF1010108
B5800-5802,RDF1010109
B790-5802,RDF1010110
BC1-199,RDF1010111
BD10-701,RDF1010112
BD143-237,RDF1010113
BD300-450,RDF1010199
BD95-131,RDF10102
BF1-990,RDF1010201
BF309-499,RDF1010202
BH1-301,RDF1010203
BJ1-1725,RDF1010204
BJ1188-1295,RDF1010205
BL1-2790,RDF1010206
BL1-50,RDF1010207
BL1000-2370,RDF1010208
BL51-65,RDF1010209
BL660-2680,RDF1010210
BL74-99,RDF1010211
BM1-990,RDF1010212
BP1-253,RDF1010213
BP1-610,RDF1010299
BP500-585,RDF10103
BP600-610,RDF1010301
BQ1-9800,RDF1010302
BR1-1725,RDF1010303
BR140-1510,RDF1010304
BR60-67,RDF1010305
BS1-2970,RDF1010306
BS1901-2970,RDF1010307
BS701-1830,RDF1010308
BT10-1480,RDF1010309
BT1313-1480,RDF1010310
BV1-5099,RDF1010311
BV4485-5099,RDF1010312
BV4625-4780,RDF1010399
BX1-9999,RDF102
C,RDF10201
CB3-482,RDF1020101
CC1-960,RDF1020102
CD1-6471,RDF1020103
CS1-3090,RDF1020104
CT21-9999,RDF1020105
D,RDF1020106
D1-2009,RDF1020107
D111-203,RDF1020108
D204-475,RDF1020109
D299-475,RDF1020110
D51-90,RDF1020111
D900-2009,RDF1020112
DA1-995,RDF1020113
DAW1001-1051,RDF1020114
DB1-3150,RDF1020115
DB1-879,RDF1020116
DB901-999,RDF1020199
DC1-947,RDF10202
DD1-905,RDF1020201
DE1-100,RDF1020202
DF10-951,RDF1020203
DG11-999,RDF1020204
DH1-925,RDF1020205
DJK1-77,RDF1020206
DK1-4735,RDF1020207
DK4010-4800,RDF1020208
DL1-1180,RDF1020209
DL1002-1180,RDF1020210
DL401-596,RDF1020299
DP1-402,RDF10203
DP501-900.22,RDF1020301
DR1-2285,RDF1020302
DS1-937,RDF1020303
DT1-3415,RDF1020304
DU1-950,RDF1020305
E-F,RDF1020306
E11-143,RDF1020307
E151-889,RDF1020308
F1-975,RDF1020309
F1201-3799,RDF1020310
G,RDF1020311
G1-922,RDF1020312
G3180-9980,RDF1020313
G9900-9980,RDF1020399
GA1-1776,RDF10204
GA101-1776,RDF1020401
GA109.5,RDF1020402
GA51-87,RDF1020403
GB3-5030,RDF1020404
GC1-1581,RDF1020499
GE1-350,RDF10205
GF1-900,RDF1020501
GF101-127,RDF1020502
GF125,RDF1020503
GN1-890,RDF1020504
GN281-289,RDF1020505
GN282-286.7,RDF1020506
GN301-674,RDF1020507
GN49-298,RDF1020508
GN700-890,RDF1020509
GR1-950,RDF1020599
GT1-7070,RDF10206
GV1-1860,RDF1020601
GV1580-1799.4,RDF1020602
GV181.35-181.6,RDF1020603
GV557-1198.995,RDF1020604
H,RDF1020605
H1-99,RDF1020606
H53,RDF1020607
HA1-4737,RDF1020608
HB1-3840,RDF1020609
HB71-74,RDF1020610
HB848-3697,RDF1020611
HC10-1085,RDF1020612
HC92,RDF1020699
HD101-1395.5,RDF10207
HD1286-1339,RDF1020701
HD1290-1291,RDF1020702
HD1332-1333.5,RDF1020703
HD1361-1395.5,RDF1020704
HD2321-4730.9,RDF1020705
HD2330,RDF1020706
HD2340.8-2346.5,RDF1020707
HD2350.8-2356,RDF1020708
HD2365-2385,RDF1020799
HD2421-2429,RDF10208
HD28-70,RDF1020801
HD28-9999,RDF1020802
HD2951-3575,RDF1020803
HD3611-4730.9,RDF1020804
HD39-40.7,RDF1020805
HD41,RDF1020806
HD45-45.2,RDF1020807
HD47-47.4,RDF1020808
HD4801-8943,RDF1020899
HD4861-4895,RDF10299
HD49-49.5,RDF1029999
HD5481-5630.7,RDF103
HD56-57.5,RDF10301
HD5650-5660,RDF1030101
HD5701-6000.9,RDF1030102
HD58.7-58.95,RDF1030103
HD59-59.6,RDF1030104
HD60-60.5,RDF1030105
HD61,RDF1030106
HD62,RDF1030107
HD62.2-62.8,RDF1030108
HD6350-6940.7,RDF1030109
HD66-66.2,RDF1030110
HD69,RDF1030111
HD6951-6957,RDF1030112
HD6958.5-6976,RDF1030113
HD7088-7252,RDF1030199
HD72-88,RDF10302
HD7255-7256,RDF1030201
HD7260-7780.8,RDF1030202
HD7795-8027,RDF1030203
HD8031,RDF1030204
HD8038,RDF1030205
HD9000-9495,RDF1030206
HD9000-9999,RDF1030207
HD9502-9502.5,RDF1030208
HD9506-9624,RDF1030209
HD9650-9663,RDF1030210
HD9665-9675,RDF1030299
HD9680-9714,RDF10303
HD9715-9717.5,RDF1030301
HD9720-9975,RDF1030302
HD9999,RDF1030303
HE1-9990,RDF1030304
HE9713-9715,RDF1030305
HF1-6182,RDF1030306
HF1014,RDF1030307
HF1021-1027,RDF1030308
HF1701-2701,RDF1030309
HF294-343,RDF1030399
HF5001-6182,RDF10304
HF5381-5386,RDF1030401
HF5387-5387.5,RDF1030402
HF5410-5417.5,RDF1030403
HF5428-5429.6,RDF1030404
HF5437-5444,RDF1030499
HF5460-5469.5,RDF10305
HF5469.7-5481,RDF1030501
HF5482-5482.4,RDF1030502
HF5546-5548.6,RDF1030503
HF5548.7-5548.85,RDF1030504
HF5549-5549.5,RDF1030505
HF5601-5689,RDF1030506
HF5691-5716,RDF1030507
HF5717-5734.7,RDF1030508
HF5735-5746,RDF1030509
HF5761-5780,RDF1030510
HF5801-6182,RDF1030599
HG1-9999,RDF10306
HG1501-3550,RDF1030601
HG8011-9999,RDF1030602
HJ2240-5908,RDF1030603
HJ4113-4601,RDF1030604
HM401-1281,RDF1030605
HN1-995,RDF1030606
HQ1-2044,RDF1030607
HQ1088-1090.7,RDF1030699
HQ1101-2030.7,RDF10399
HS1-3371,RDF1039901
HT101-395,RDF1039902
HT161-165,RDF1039903
HT165.5-169.9,RDF1039999
HT170-178,RDF104
HT201-221,RDF10401
HT231,RDF1040101
HT321-325,RDF1040102
HT330-334,RDF1040103
HT351-352,RDF1040104
HT361-384,RDF1040105
HT388,RDF1040106
HT390-395,RDF1040107
HT51-1595,RDF1040108
HT51-65,RDF1040199
HV1-9960,RDF10402
HX1-970.7,RDF1040201
J,RDF1040202
JA1-92,RDF1040203
JC11-607,RDF1040204
JF20-2112,RDF1040205
JQ1-6651,RDF1040206
JV1-9480,RDF1040207
JZ2-6530,RDF1040208
K,RDF1040209
K1-7720,RDF1040210
K1000-1395,RDF1040211
K201-487,RDF1040212
K3150,RDF1040213
K3581-3598,RDF1040214
K3601-3611,RDF1040215
K3840-4375,RDF1040299
K4011-4343,RDF10403
K4430-4675,RDF1040301
K5000-5582,RDF1040302
K520-5582,RDF1040303
K623-968,RDF1040304
K7000-7720,RDF1040305
K720-792,RDF1040306
K7585-7595,RDF1040307
KBP1-4860,RDF1040308
KJ-KKZ,RDF1040309
KJ2-1040,RDF1040310
KL-KWX,RDF1040399
KN,RDF10404
KZ2-6785,RDF1040401
L,RDF1040402
L7-991,RDF1040403
LA5-2396,RDF1040404
LB5-3640,RDF1040405
LC8-6691,RDF1040406
M,RDF1040499
M1-5000,RDF10405
ML1-3930,RDF1040501
MT1-960,RDF1040502
Medicine,RDF1040503
N,RDF1040504
N1-9211,RDF1040505
NA1-9428,RDF1040506
NA2695-2793,RDF1040507
NA9000-9428,RDF1040508
NB1-1952,RDF1040599
NC1-1940,RDF10406
ND25-3416,RDF1040601
NE1-3002,RDF1040602
NE1-978,RDF1040603
NE380,RDF1040604
NK1-9990,RDF1040605
NX1-820,RDF1040606
NX440-632,RDF1040607
P,RDF1040608
P1-1091,RDF1040609
P101-410,RDF1040610
P118-118.7,RDF1040611
P201-299,RDF1040612
P301-301.5,RDF1040699
P302-302.87,RDF10407
P306-310,RDF1040701
P325-325.5,RDF1040702
P327-327.5,RDF1040703
P87-96,RDF1040704
P95-95.6,RDF1040705
P98-98.5,RDF1040706
PA,RDF1040799
PA201-899,RDF10499
PC1-5498,RDF1049901
PD1-7159,RDF1049902
PD1501-7159,RDF1049903
PE1-3729,RDF1049999
PG1-9665,RDF105
PH1-5490,RDF10501
PH501-1109,RDF1050101
PH91-98.5,RDF1050102
PJ,RDF1050103
PK1-9601,RDF1050104
PL1-8844,RDF1050105
PL1001-3208,RDF1050106
PL501-889,RDF1050107
PL8000-8844,RDF1050108
PN1-6790,RDF1050109
PN1560-1590,RDF1050110
PN1600-3307,RDF1050111
PN1993-1999,RDF1050112
PN2000-3307,RDF1050113
PN4001-4355,RDF1050114
PN4699-5650,RDF1050115
PQ1-3999,RDF1050199
PR1-9680,RDF10502
PS1-3576,RDF1050201
PT1-4897,RDF1050202
PT8301-9155,RDF1050203
Q,RDF1050204
