code,term,journals,applications
A,General Works,512,434
AE1-90,Encyclopedias,1,4
AG2-600,Dictionaries and other general reference works,1,2
AM1-501,Museums. Collectors and collecting,47,71
AN,Newspapers,2,4
AP1-271,Periodicals,4,7
AS1-945,Academies and learned societies,7,28
AZ20-999,History of scholarship and learning. The humanities,274,536
B,Philosophy. Psychology. Religion,709,684
B1-5802,Philosophy (General),498,645
B108-5802,By period,1,1
B5800-5802,By religion,2,9
B790-5802,Modern,9,14
BC1-199,Logic,15,25
BD10-701,Speculative philosophy,19,27
BD143-237,Epistemology. Theory of knowledge,18,28
BD300-450,Ontology,1,1
BD95-131,Metaphysics,7,16
BF1-990,Psychology,665,979
BF309-499,Consciousness. Cognition,23,46
BH1-301,Aesthetics,20,42
BJ1-1725,Ethics,76,116
BJ1188-1295,Religious ethics,16,31
BL1-2790,Religions. Mythology. Rationalism,88,117
BL1-50,Religion (General),135,231
BL1000-2370,Asian. Oriental,4,7
BL51-65,Philosophy of religion. Psychology of religion. Religion in relation to other subjects,32,73
BL660-2680,History and principles of religions,12,27
BL74-99,Religions of the world,4,13
BM1-990,Judaism,16,17
BP1-253,Islam,385,736
BP1-610,"Islam. Bahai Faith. Theosophy, etc.",54,116
BP500-585,Theosophy,0,1
BP600-610,Other beliefs and movements,0,4
BQ1-9800,Buddhism,3,10
BR1-1725,Christianity,56,83
BR140-1510,History,9,16
BR60-67,"Early Christian literature. Fathers of the Church, etc.",2,2
BS1-2970,The Bible,27,40
BS1901-2970,New Testament,1,2
BS701-1830,Old Testament,1,2
BT10-1480,Doctrinal Theology,56,97
BT1313-1480,History of specific doctrines and movements. Heresies and schisms,1,3
BV1-5099,Practical Theology,54,110
BV4485-5099,Practical religion. The Christian life,16,28
BV4625-4780,Moral theology,8,16
BX1-9999,Christian Denominations,7,7
C,Auxiliary sciences of history,88,78
CB3-482,History of Civilization,46,97
CC1-960,Archaeology,253,376
CD1-6471,Diplomatics. Archives. Seals,14,22
CS1-3090,Genealogy,4,4
CT21-9999,Biography,4,6
D,History (General) and history of Europe,345,394
D1-2009,History (General),377,485
D111-203,Medieval history,62,91
D204-475,"Modern history, 1453-",35,56
D299-475,1789-,8,15
D51-90,Ancient history,50,82
D900-2009,Europe (General),8,13
DA1-995,History of Great Britain,8,10
DAW1001-1051,History of Central Europe,24,29
DB1-3150,History of Austria. Liechtenstein. Hungary. Czechoslovakia,3,4
DB1-879,Austria. Austro-Hungarian Empire,1,1
DB901-999,Hungary,3,2
DC1-947,History of France,7,7
DD1-905,History of Germany,2,5
DE1-100,History of the Greco-Roman World,22,40
DF10-951,History of Greece,6,7
DG11-999,History of Italy,8,15
DH1-925,History of Low Countries - Benelux Countries,2,8
DJK1-77,History of Eastern Europe,33,62
DK1-4735,History of Russia. Soviet Union. Former Soviet Republics,21,28
DK4010-4800,History of Poland,11,19
DL1-1180,History of Northern Europe. Scandinavia,7,5
DL1002-1180,Finland,1,1
