"Please go to the Journal URL, find out when the journal started publishing under an OA model, and add the date in column H.",,,,,,,,,
Journal title,Journal URL,eISSN,URL in DOAJ,pISSN,Publisher,Country,OA Start,Man. Ed,
Gaceta Médica Boliviana,http://www.gacetamedicaboliviana.com/index.php/gmb,2227-3662,https://doaj.org/toc/16a63179efb14f5e85864ca114b1c423,1012-2966,"Universidad Mayor de San Simón, Facultad de Medicina","Bolivia, Plurinational State of",2014,Alejandra,
Ciencia Médica,https://rccm-umss.com/index.php/revistacientificacienciamedica/index,2220-2234,https://doaj.org/toc/5db2d5f3bc134cbbaa36c1abb5fab623,1817-7433,"Universidad Mayor de San Simón, Facultad de Medicina","Bolivia, Plurinational State of",2000,Alejandra,
Acervo,http://revista.arquivonacional.gov.br/,2237-8723,https://doaj.org/toc/990956a07f7e40c79b4dd0bf804edd70,0102-700X,Arquivo Nacional,Brazil,2014,Alejandra,
ABCustos,https://revista.abcustos.org.br/abcustos/index,1980-4814,https://doaj.org/toc/ef83b4a19445496eab9da6ead0885768,,Associação Brasileira de Custos,Brazil,2006,Alejandra,
Abehache,https://revistaabehache.com/ojs/index.php/abehache/index,2238-3026,https://doaj.org/toc/b6c10b13d8f14481a6ea6802a4b4c627,,Associação Brasileira de Hispanistas,Brazil,2011,Alejandra,
Revista Brasileira de Milho e Sorgo,http://rbms.cnpms.embrapa.br/index.php/ojs/index,1980-6477,https://doaj.org/toc/498a1292e22a431787cce66ebab8543c,1676-689X,Associação Brasileira de Milho e Sorgo,Brazil,2002,Alejandra,
Revista de Gestão de Água da América Latina,https://www.abrh.org.br/OJS/index.php/REGA/index,2359-1919,https://doaj.org/toc/fc2f126a0ced4466850c622266192a38,,Associação Brasileira de Recursos Hídricos – ABRHidro,Brazil,2018,Alejandra,
Estudos em Design,https://estudosemdesign.emnuvens.com.br/design/index,1983-196X,https://doaj.org/toc/55ca2d7f49994fba97e4cad8d9229cb1,0104-4249,Associação Estudos em Design,Brazil,2007,Alejandra,
Fineduca,https://seer.ufrgs.br/fineduca/,2236-5907,https://doaj.org/toc/fc7c668d28584ca19f5673dd2aa58cb2,,Associação Nacional de Pesquisa em Financiamento da Educação,Brazil,2011,Alejandra,
Soils and Rocks,https://www.soilsandrocks.com/,2675-5475,https://doaj.org/toc/82bc3686a4814e4b8f09a696a4908a21,1980-9743,Brazilian Association for Soil Mechanics and Geotechnical Engineering AND Portuguese Geotechnical Society,Brazil,2011,Alejandra,
Administração de Empresas em Revista,http://revista.unicuritiba.edu.br/index.php/admrevista/index,2316-7548,https://doaj.org/toc/9e51a009d5e74cc18e5173fa027eab05,1676-9457,Centro Universitário Curitiba,Brazil,2002,Alejandra,
Revista Juridica,http://revista.unicuritiba.edu.br/index.php/RevJur/index,2316-753X,https://doaj.org/toc/d2afde079f3a4af58c0a192d290f3471,0103-3506,Centro Universitário UNICURITIBA,Brazil,2007,Alejandra,
Khronos,https://www.revistas.usp.br/khronos/index,2447-2158,https://doaj.org/toc/fa8f9ae8f7ca4d658ccb3b8f46dd33bf,,CHC - Centro Interunidades de História da Ciência da Universidade de São Paulo,Brazil,2008,Alejandra,
Revista da Defensoria Pública do Distrito Federal,http://revista.defensoria.df.gov.br/,2674-5755,https://doaj.org/toc/8fba9fc27c6d4a70a62752cb384a340d,2674-5739,Defensoria Pública do Distrito Federal,Brazil,2019,Alejandra,
Educação Infantil Online,https://periodicos.editorialaar.com/index.php/educacaoinfantilonline/index,2675-9551,https://doaj.org/toc/4b15ac6cb60f45abb2485eb430000ea5,,EAAR -  Editorial Authors and Associated Researchers,Brazil,2021,Alejandra,
Linguagens nas Artes,https://revista.uemg.br/index.php/linguagensnasartes/index,2675-8741,https://doaj.org/toc/6aef9856eacb4ce487c04d72efa693fe,,Editora da Universidade do Estado de Minas Gerais,Brazil,2020,Alejandra,
Contradição,https://revista.unifatecie.edu.br/index.php/revcontrad/index,2675-7109,https://doaj.org/toc/29f3f4a4162a4d77bb732e4f34c689bb,,Edufatecie,Brazil,2021,Alejandra,
EntomoBrasilis,https://www.entomobrasilis.org,1983-0572,https://doaj.org/toc/f2c3592b369041559aef40e6420414f6,,Entomologistas do Brasil,Brazil,2008,Alejandra,
Revista da Defensoria Pública da União,https://revistadadpu.dpu.def.br/,2448-4555,https://doaj.org/toc/587782f1982641518564eedad5b75d36,1984-0322,Escola Nacional da Defensoria Pública da União,Brazil,2009,Alejandra,
Campo Jurídico,http://www.fasb.edu.br/revista/index.php/campojuridico/index,2317-4056,https://doaj.org/toc/e0195cc56d5645d087c4e03799219e51,2317-2444,Faculdade São Francisco de Barreiras - FASB,Brazil,2013,Alejandra,
Reunina,https://revista.unina.edu.br/index.php/re/index,2675-9721,https://doaj.org/toc/4472535606df4357b492d471e494a49b,,Faculdade Unina,Brazil,2020,Alejandra,
Revista de Ciências da Saúde Nova Esperança,https://revista.facene.com.br/index.php/revistane,2317-7160,https://doaj.org/toc/a07240991e944e74ad1abbab867d268c,1679-1983,Faculdades Nova Esperança,Brazil,2003,Alejandra,
