Journal title,Journal ISSN (print version),Journal EISSN (online version),Deposit policy directory,URL for deposit policy
20 & 21. Revue d'histoire,2649-664X,2649-6100,Mir@bel,https://reseau-mirabel.info/revue/titre-id/9431
Agora débats/jeunesses,1268-5666,1968-3758,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1683
Champs de Mars,1253-1871,2427-3244,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1283
Critique internationale,1290-7839,1777-554X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/45
Raisons politiques : études de pensée politique,1291-1941,1950-6708,Mir@bel,https://reseau-mirabel.info/revue/titre-id/580
Revue économique,0035-2764,1950-6694,Mir@bel,https://reseau-mirabel.info/revue/titre-id/85
Revue française de science politique,0035-2950,1950-6686,Mir@bel,https://reseau-mirabel.info/revue/titre-id/25
"Vingtième siècle, revue d'histoire",0294-1759,1950-6678,Mir@bel,https://reseau-mirabel.info/revue/titre-id/98
Année du Maghreb,1952-8108,2109-9405,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1725
Anglophonia,,2427-0466,Mir@bel,https://reseau-mirabel.info/revue/titre-id/16924
Caliban : French journal of English studies,2425-6250,2431-1766,Mir@bel,https://reseau-mirabel.info/revue/titre-id/3793
Caravelle,1147-6753,2272-9828,Mir@bel,https://reseau-mirabel.info/revue/titre-id/854
Cinémas d'Amérique latine,1267-4397,2425-1356,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1551
Criticón,0247-381X,2272-9852,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2591
"Diasporas : circulations, migrations, histoire",1637-5823,2431-1472,Mir@bel,https://reseau-mirabel.info/revue/titre-id/3832
Dossiers des sciences de l'éducation : revue internationale des sciences de l'éducation,1296-2104,2272-9968,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2331
"Histoire, médecine et santé",2263-8911,2557-2113,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4463
Littératures,0563-9751,2273-0311,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2594
P@lethnologie,,2108-6532,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5173
Pallas,0031-0387,2272-7639,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2597
Sciences de la société,1168-1446,2275-2145,Mir@bel,https://reseau-mirabel.info/revue/titre-id/362
Sud-Ouest européen,1276-4930,2273-0257,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2579
Population,0032-4663,1957-7966,Mir@bel,https://reseau-mirabel.info/revue/titre-id/573
Population (english edition),1634-2941,1958-9190,Mir@bel,https://reseau-mirabel.info/revue/titre-id/572
Biens symboliques / Symbolic Goods,,2490-9424,Mir@bel,https://reseau-mirabel.info/revue/titre-id/7535
"Extrême-Orient, Extrême-Occident",0754-5010,2108-7105,Mir@bel,https://reseau-mirabel.info/revue/titre-id/846
Hybrid : Revue des arts et médiations humaines = Journal of arts and human mediations,,2276-3538,Mir@bel,https://reseau-mirabel.info/revue/titre-id/7513
Marges : revue d'art contemporain,1767-7114,2416-8742,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2902
Médiévales,0751-2708,1777-5892,Mir@bel,https://reseau-mirabel.info/revue/titre-id/682
Recherches linguistiques de Vincennes,0986-6124,1958-9239,Mir@bel,https://reseau-mirabel.info/revue/titre-id/691
Photographica,2780-8572,2740-5826,Mir@bel,https://reseau-mirabel.info/revue/titre-id/11313
Revue d'histoire des sciences humaines,1622-468X,1963-1022,Mir@bel,https://reseau-mirabel.info/revue/titre-id/597
Revue internationale des études du développement,2554-3415,2554-3555,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4954
Socio-anthropologie,1276-8707,1773-018X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/703
Revue management & avenir,1768-5958,1969-6574,Mir@bel,https://reseau-mirabel.info/revue/titre-id/784
Moussons : Recherches en sciences humaines sur l'Asie du Sud-Est,1620-3224,2262-8363,Mir@bel,https://reseau-mirabel.info/revue/titre-id/978
Bulletin archéologique des Écoles françaises à l'étranger,,2732-687X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/11406
Bulletin de Correspondance Hellénique,0007-4217,2241-0104,Mir@bel,https://reseau-mirabel.info/revue/titre-id/728
Bulletin de correspondance hellénique moderne et contemporain,,2732-6535,Mir@bel,https://reseau-mirabel.info/revue/titre-id/9294
Cahiers du Centre d'Études Chypriotes,0761-8271,2647-7300,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4579
Flux,1154-2721,1958-9557,Mir@bel,https://reseau-mirabel.info/revue/titre-id/543
Revue Européenne des Migrations Internationales,0765-0752,1777-5418,Mir@bel,https://reseau-mirabel.info/revue/titre-id/697
