doi,WG1,WG2,WG3,year,type,source_title,issn,publisher_name,publisher_crossref_member,countries,countries_corr,publisher_oa,other_platform_oa,publisher_license,repository_license
10.1093/ACPROF:OSO/9780195172997.003.0005,FALSE,TRUE,FALSE,2006,book-chapter,Globalization and Health,,Oxford University Press (OUP),286,,,oa_journal_doaj,,cc_by,
10.5670/OCEANOG.2016.106,TRUE,FALSE,FALSE,2016,journal-article,Oceanography,,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.5670/OCEANOG.2016.99,TRUE,FALSE,FALSE,2016,journal-article,Oceanography,,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,
10.1097/MD.0000000000006765,FALSE,TRUE,FALSE,2017,journal-article,Medicine,0025-7974,Ovid Technologies (Wolters Kluwer Health),276,NG,NG,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1097/MD.0000000000002259,FALSE,TRUE,FALSE,2015,journal-article,Medicine,0025-7974,Ovid Technologies (Wolters Kluwer Health),276,JP,JP,oa_journal_doaj,accepted/published,cc_other,cc_other
10.15567/MLJEKARSTVO.2017.0203,FALSE,TRUE,FALSE,2017,journal-article,Mljekarstvo,0026-704X,Croatian Dairy Union,6245,"HR,SI",,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1590/S0034-8910.2013047004410,FALSE,TRUE,FALSE,2013,journal-article,Revista de Saúde Pública,0034-8910,FapUNIFESP (SciELO),530,BR,,oa_journal_doaj,submitted,cc_by,
10.20430/ETE.V83I332.231,TRUE,TRUE,FALSE,2016,journal-article,El Trimestre Económico,0041-3011,Fondo de Cultura Economica,9136,"MX,US",,oa_journal_doaj,submitted,cc_other,
10.1515/JOHH-2016-0036,FALSE,TRUE,FALSE,2016,journal-article,Journal of Hydrology and Hydromechanics,0042-790X,Walter de Gruyter GmbH,374,CZ,CZ,oa_journal_doaj,,cc_other,
10.2471/BLT.17.198358,FALSE,TRUE,FALSE,2017,journal-article,Bulletin of the World Health Organization,0042-9686,WHO Press,1305,CH,CH,oa_journal_doaj,accepted/published,cc_by,cc_by
10.2471/BLT.10.010710,FALSE,TRUE,FALSE,2010,journal-article,Bulletin of the World Health Organization,0042-9686,WHO Press,1305,,,oa_journal_doaj,accepted/published,cc_by,
10.2471/BLT.15.167031,FALSE,TRUE,FALSE,2016,journal-article,Bulletin of the World Health Organization,0042-9686,WHO Press,1305,"AU,US",AU,oa_journal_doaj,accepted/published,cc_by,cc_by
10.2471/BLT.15.166199,FALSE,TRUE,FALSE,2015,journal-article,Bulletin of the World Health Organization,0042-9686,WHO Press,1305,"FJ,CH",FJ,oa_journal_doaj,accepted/published,cc_by,cc_by
10.2471/BLT.20.252882,FALSE,TRUE,FALSE,2020,journal-article,Bulletin of the World Health Organization,0042-9686,WHO Press,1305,"ID,CH,US",ID,oa_journal_doaj,accepted/published,cc_by,
