ID,Journal Name,ISSNs,Q14,Q18
577b159ada8b49eaae19f14094b31c86,Higher Education Perspectives,1710-1530,False,False
57fafa3a0ea04c65a1a5e153b0cb287f,Economics Management Innovation,"1805-353X, 1804-1299",False,False
580566e172b047c5afbecb2d40630db2,WEB-FU - Wiener elektronische Beiträge des Instituts für Finno-Ugristik,1609-882X,False,False
580e34a4689a4f6ab549d225a13db6e9,Cardiologia Croatica,"1848-5448, 1848-543X",False,False
5825f0350d2b493dbf35669495250f57,International Journal of Herbal Medicine,2321-2187,False,False
58a088c299744f0eab1f8b22ed378699,EMBO reports - European Molecular Biology Organization,"1469-3178, 1469-221X",False,False
58cdf05e1b4b44c89a0a85c408437978,Higher Education Studies,"1925-4741, 1925-475X",False,False
58e54039709d4fda87d853a471ba79f0,Research Journal of Commerce & Behavioural Science,2251-1547,False,False
58ef507fee5d4b93adaab79fe78bc8ed,Malta Journal of Health Sciences,2312-5705,False,False
590e570429ba43f8a28b47dd409e4594,Russian Linguistics,"0304-3487, 1572-8714",False,False
59414aa973a54098afe2040ed4c60238,Electronic Journal of Health Informatics,1446-4381,False,False
598632ae112c499aa9aafaeab6e67f56,International Journal of Applied Operational Research,"2251-6867, 2251-9432",False,False
59b1fbeff721467dac1181b2368bde4c,Revista de Investigación en Educación,1697-5200,False,False
59cabc11966a4df980dd76f6b3316416,Open Pain Journal,1876-3863,False,False
59e41ea63e994282a41817dce9389827,Pamukkale Journal of Sport Sciences,1309-0356,False,False
59e4a2b3015e404ca1632af5012a9bfe,InDret,1698-739X,False,False
5a02e36b55c649f390352c3bf2fb73dd,Economics Bulletin,1545-2921,False,False
5a4d2cc037ad4c1aacd79903063f4f5e,International Journal of Geographical Information Science,"1362-3087, 1365-8816",False,False
5a5e8efad3de4c30b62afff770935458,Kyushu Journal of Mathematics,"1883-2032, 1340-6116",False,False
5a7908349d22456e9d76acf13489e3ad,International Journal of Transpersonal Studies,"1321-0122, 1942-3241",False,False
5a8d6bd2756d45a7920c4859755c25f2,Journal of Sulfur Chemistry ,"1741-5993, 1741-6000",False,False
5aaab79cb9ba438aab195b5d7f4043b0,Indian Journal of Sexually Transmitted Diseases,"1998-3816, 0253-7184",False,False
5ab47165213d427ebdded20ab4431848,Surgical Infections,"1096-2964, 1557-8674",False,False
5b4ef9f0bdee48d79f9130bf73cf5d81,Revista de Finanças Aplicadas,2176-8854,False,False
5b53f38851a447eda703b3f7277a80fa,International Journal of Scottish Theatre and Screen,2046-5602,False,False
5b7909b329c74d9eb4b22324d3059d3b,Educación y Territorio,"2256-3431, 2256-3989",False,False
5b7eacf1756e4d2692b9aae0656f3656,Pharmacia,"0976-9692, 2229-4309",False,False
5b80fce8df9a44748e7815670d88600b,Practice Reflexions,1834-3635,False,False
5b9f280aa14b46048439569abc030140,International Journal of Computational Intelligence,"1304-4508, 1304-2386",False,False
5be1f84aa4634b33b9658a17fed749cf,Differentiation : the journal of the International society of differentiation,"0301-4681, 1432-0436",False,False
5c3c815098264f34819cba3d206cdef5,Jurnal Teknologi,"2180-3722, 0127-9696",False,False
5c48007096134929b53001f48c660af4,Plasma Chemistry and Plasma Processing,"1572-8986, 0272-4324",False,False
5c6ecdfb726d4238a8defd26ed14fbc4,International Journal of Computer Science and Network Security,1738-7906,False,False
5cc051684c23471a9719d8c5b4a47fb3,Penelitian Gizi dan Makanan,"2338-8358, 0125-9717",False,False
5ccae5e65a084bd9b5d3e67dde3504ca,Association for Computing Machinery New Zealand Bulletin,1176-9998,False,False
5cd3410c6a9a4f4a8aaa9b5575be877e,Revista de Teoria da História,2175-5892,False,False
5cf9455e0ac741ccb459c5eb78c93008,Journal of the Institute of Engineering ,1810-3383,False,False
5d969e7fd3084abb88c323a1164150c9,Revista Observaciones Filosóficas,0718-3712,False,False
5dac4d0cea274ed191842a0cadfb6859,Gestão e Planejamento,"1516-9103, 2178-8030",False,False
5ddf4dd032a74ca199aad2fb3dabbc74,Sakarya University Journal of Science,"2147-835X, 1301-4048",False,False
5ddf50aada3241739bc2c665014b584a,International Journal of Multimedia & Its Applications ,"0975-5934, 0975-5578",False,False
5df051c4a4c542e280a81b0aff960965,E-International Scientific Research Journal ,2094-1749,False,False
5df1f212a1414b029e625187eff95216,Revista de Educação e de Tecnologia Aplicadas à Aeronáutica,"1984-5944, 2175-1927",False,False
5e3cc32c28524089bbe106d56fe4b959,Seguimiento  Farmacoterapéutico,1696-1137,False,False
5e561665366c4a478a7928df37648f4b,ORiON,"0259-191X, 2224-0004",False,False
5e5a6425dfe64d8f824cd929b5218871,Performance and Spirituality,2157-4049,False,False
5f094e287d724f98a193a6db6bc97b91,Revista Global Manager,"1676-2819, 2317-501X",False,False
5f40e98cf1e44e1d9ac3c1a18ccb30ec,Asian Journal of Biomedical and Pharmaceutical Sciences,2249-622X,False,False
5f457a9baee8472fac167f128286b42e,Mastozoología Neotropical,"0327-9383, 1666-0536",False,False
5f521c995f5e44349db27f41d6a9931c,"Revista Globalización, Competitividad y Gobernabilidad",1988-7116,False,False
5fbe657607f84746b69c13673b61b6b1,Evidence-based nursing,"1367-6539, 1468-9618",False,False
5fceb5e93695457b8193af846858a014,International Journal of Computer Information Systems,2229-5208,False,False
605ccd0634694e32911bb848c91aa9dd,Animal conservation.,"1367-9430, 1469-1795",False,False
607107b7ba1c48bdac13c623448b7735,Revista Salud Pública y Nutrición,1870-0160,False,False
60ba864baac64a08bdb310fc36fcb921,Interdisciplinaria,"0325-8203, 1668-7027",False,False
60cc75eb689f4eedb0f55b39cdc66434,Canadian journal of physics = Journal canadien de physique,"1208-6045, 0008-4204",False,False
60d717d751f845698eb1d00454fd68f0,"Dialogues in Philosophy, Mental and Neuro Sciences",2035-0031,False,False
61271dcd6e744afbb86a6cb87347a7b0,Avanzada Científica,1029-3450,False,False
612b25355db94b89b2a43580b542632f,Clinical Neuropsychologist (The),"1385-4046, 1744-4144",False,False
613642fa307a4a299c37349b6f505d42,Brazilian Journalism Research,XXXX-XXXX,False,False
61465dbda82848a58221a981ef741922,Eccos Revista Científica,XXXX-XXXX,False,False
614f1471abc24e418e4f0707878c3758,Romanian Journal of Regional Science,1843-8520,False,False
61516192783e42d9bd8972cba2e40c4c,"Law, Social Justice & Global Development",1467-0437,False,False
6172a791132846868d24774ab86141a4,Rem : Revista Escola de Minas,0370-4467,False,False
61736bde9db34c689eaeaba08975c700,"Journal of Atomic, Molecular, and Optical Physics","1687-9236, 1687-9228",False,False
617c3845a44a429e93c3e14729d5d57d,Indian Journal of Chemistry : Section B,"0376-4699, 0975-0983",False,False
619c46db71f047b4bd5257bafb5422c9,"Research Journal of Economics, Business and ICT","2045-3345, 2047-7848",False,False
61b8b80e9b554a00b085e11719a08e7e,International Journal of Clinical Monitoring and Computing,0167-9945,False,False
61ce95bed413492d8a9d0df10342856b,Journal of Hematological Malignancies,"1925-4024, 1925-4032",False,False
61e584934c584943b566cc28da39f52c,SKY Journal of Linguistics,"1796-279X, 1456-8438",False,False
621dc78bfb054254b65eb63468afdd33,Experimental & Translational Stroke Medicine ,2040-7378,False,False
62351184b8f64190bc392d3d1dba6696,Revista Filosofia Capital,1982-6613,False,False
6254ab3c28954d619b1c457866ca773d,Puthiya Panuval : an International Journal of Tamil Studies,"0975-6213, 0975-573X",False,False
625e7da9c3d54c85adbc0ff45a285e31,Clinical Practice and Epidemiology in Mental Health,1745-0179,False,False
626ceedc15bc4f4d838d08dd97403b56,The European Journal of Orthodontics,"1460-2210, 0141-5387",False,False
62be538b90cc401089ccbb8af86ce52e,Journal of the Brazilian Society of Ecotoxicology,"2236-1693, 1809-8401",False,False
62c1c20a63444c5dadcf1ab22c01f41c,Journal of drug targeting,"1029-2330, 1061-186X",False,False
632933d506404437b4d4db590d1dfcee,Memoria y Civilización: Anuario de Historia,"1139-0107, 2254-6367",False,False
6334eba18b7f4df0a115ce6c617e8bc7,Revista Cubana de Ingeniería,2223-1781,False,False
