Date,Publications added today,Total publications loaded,Invitation emails sent to Mandrill today,Follow up campaign emails sent to Mandrill today,Total invitation and follow up campaign emails sent to Mandrill today,Registrations today,Registrations today / Invitation and Follow up emails sent today,Total registrations,Registration verifications today,Registration verifications today / Invitation and Follow up emails sent today,Total verified registrations
2015-09-13,8003,2671671,0,0,0,31,,66618,18,,58507
2015-09-12,1093,2663668,0,0,0,30,,66587,22,,58489
2015-09-11,3137,2662575,0,0,0,54,,66557,44,,58467
2015-09-10,1380,2659438,444,992,1436,108,7.52%,66503,96,6.69%,58423
2015-09-09,933,2658058,151,436,587,96,16.35%,66395,91,15.50%,58327
2015-09-08,7494,2657125,255,1615,1870,125,6.68%,66299,115,6.15%,58236
2015-09-07,3964,2649631,0,0,0,72,,66174,59,,58121
2015-09-06,4260,2645667,0,0,0,43,,66103,33,,58063
2015-09-05,1793,2641407,0,0,0,40,,66060,33,,58030
2015-09-04,8263,2639614,0,0,0,144,,66020,130,,57997
2015-09-03,3832,2631351,605,6699,7304,370,5.07%,65876,360,4.93%,57867
2015-09-02,9230,2627519,2361,5492,7853,410,5.22%,65506,397,5.06%,57507
2015-09-01,3433,2618289,450,4841,5291,267,5.05%,65096,250,4.72%,57110
2015-08-31,2151,2614856,0,0,0,69,,64829,56,,56860
2015-08-30,1964,2612705,0,0,0,24,,64760,23,,56804
2015-08-29,88776,2610741,0,0,0,26,,64736,21,,56781
2015-08-28,7812,2521965,0,0,0,84,,64710,72,,56760
2015-08-27,2144,2514153,552,5172,5724,268,4.68%,64626,254,4.44%,56688
2015-08-26,1277,2512009,136,4185,4321,251,5.81%,64358,237,5.48%,56434
2015-08-25,3621,2510732,723,6962,7685,319,4.15%,64107,319,4.15%,56197
2015-08-24,4443,2507111,0,0,0,116,,63788,98,,55878
2015-08-23,950,2502668,0,0,0,45,,63672,35,,55779
2015-08-22,2633,2501718,0,0,0,41,,63627,38,,55744
2015-08-21,2293,2499085,0,0,0,134,,63586,119,,55706
2015-08-20,2746,2496792,517,5028,5545,354,6.38%,63452,345,6.22%,55587
2015-08-19,4426,2494046,70,8260,8330,430,5.16%,63098,412,4.95%,55242
2015-08-18,5437,2489620,767,11178,11945,456,3.82%,62668,436,3.65%,54830
2015-08-17,13780,2484183,0,0,0,80,,62212,74,,54394
2015-08-16,16602,2470403,0,0,0,39,,62132,37,,54320
2015-08-15,3435,2453801,0,0,0,40,,62093,32,,54283
2015-08-14,1481,2450366,0,0,0,142,,62053,135,,54251
2015-08-13,1364,2448885,519,8178,8697,297,3.42%,61911,308,3.54%,54116
2015-08-12,1426,2447521,105,4004,4109,219,5.33%,61615,15207,370.09%,53809
2015-08-11,1663,2446095,675,5178,5853,278,4.75%,61396,266,4.54%,38602
2015-08-10,4691,2444432,0,0,0,129,,61118,111,,38336
2015-08-09,1736,2439741,0,0,0,35,,60989,34,,38225
2015-08-08,1490,2438005,0,0,0,54,,60954,45,,38191
2015-08-07,9788,2436515,0,0,0,166,,60900,156,,38146
2015-08-06,9838,2426727,3221,5976,9197,415,4.51%,60734,396,4.31%,37990
2015-08-05,4956,2416889,1517,1654,3171,331,10.44%,60321,318,10.03%,37596
2015-08-04,8971,2411933,5769,7731,13500,450,3.33%,59990,435,3.22%,37278
2015-08-03,14818,2402962,0,0,0,124,,59541,111,,36843
2015-08-02,5351,2388144,0,0,0,45,,59418,42,,36733
2015-08-01,2263,2382793,0,0,0,53,,59373,50,,36691
2015-07-31,1460,2380530,0,0,0,194,,59320,184,,36641
2015-07-30,2795,2379070,5423,5618,11041,422,3.82%,59126,410,3.71%,36457
2015-07-29,1075,2376275,5914,288,6202,363,5.85%,58704,340,5.48%,36047
2015-07-28,1353,2375200,5644,1975,7619,336,4.41%,58342,325,4.27%,35707
2015-07-27,1096,2373847,0,0,0,95,,58006,84,,35381
2015-07-26,10173,2372751,0,0,0,38,,57911,33,,35297
2015-07-25,11131,2362578,0,0,0,31,,57873,28,,35264
2015-07-24,7624,2351447,0,0,0,128,,57842,124,,35236
2015-07-23,2625,2343823,5598,461,6059,256,4.23%,57714,245,4.04%,35112
2015-07-22,2082,2341198,5024,33,5057,339,6.70%,57458,322,6.37%,34867
2015-07-21,5758,2339116,5423,7599,13022,545,4.19%,57119,524,4.02%,34545
2015-07-20,10450,2333358,0,0,0,118,,56574,96,,34021
2015-07-19,7731,2322908,0,0,0,48,,56456,46,,33925
2015-07-18,2047,2315177,0,0,0,51,,56408,48,,33878
2015-07-17,19638,2313130,0,0,0,179,,56357,167,,33830
2015-07-16,5745,2293492,5377,6404,11781,465,3.95%,56178,458,3.89%,33662
2015-07-15,1924,2287747,147,1401,1548,187,12.08%,55713,182,11.76%,33204
2015-07-14,3765,2285823,1151,7718,8869,382,4.31%,55526,378,4.26%,33022
2015-07-13,1649,2282058,0,0,0,47,,55144,42,,32644
2015-07-12,1374,2280409,0,0,0,36,,55097,30,,32600
2015-07-11,4349,2279035,0,0,0,37,,55061,36,,32570
2015-07-10,5154,2274686,0,0,0,93,,55024,85,,32534
2015-07-09,3442,2269532,411,4705,5116,266,5.20%,54931,255,4.98%,32449
2015-07-08,2766,2266090,34,4327,4361,326,7.48%,54666,317,7.27%,32195
2015-07-07,11582,2263324,3410,8771,12181,557,4.57%,54342,537,4.41%,31878
2015-07-06,1237,2251742,0,0,0,113,,53785,96,,31341
2015-07-05,757,2250505,0,0,0,45,,53672,37,,31245
2015-07-04,1068,2249748,0,0,0,53,,53627,47,,31208
2015-07-03,1380,2248680,0,0,0,164,,53574,160,,31161
2015-07-01,17044,2231310,90,9424,9514,419,4.40%,52919,411,4.32%,30514
2015-06-30,2786,2214266,1699,1559,3258,201,6.17%,52500,195,5.99%,30103
2015-06-29,699,2211480,0,0,0,99,,52299,84,,29908
2015-06-28,435,2210781,0,0,0,31,,52201,29,,29825
2015-06-27,1862,2210346,0,0,0,36,,52170,34,,29796
2015-06-26,1591,2208484,0,0,0,125,,52134,116,,29762
2015-06-25,2501,2206893,320,5667,5987,342,5.71%,52009,338,5.65%,29646
2015-06-24,2944,2204392,29,5109,5138,310,6.03%,51667,296,5.76%,29308
2015-06-23,5321,2201448,701,6501,7202,337,4.68%,51357,326,4.53%,29012
2015-06-22,965,2196127,0,0,0,105,,51021,96,,28687
2015-06-21,2619,2195162,0,0,0,54,,50918,52,,28592
2015-06-20,5081,2192543,0,0,0,63,,50864,62,,28540
2015-06-19,2764,2187462,0,0,0,191,,50801,180,,28478
2015-06-18,8717,2184698,3445,7488,10933,625,5.72%,50610,610,5.58%,28298
